"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AGLUWKIGHDM4O4INASHJ6VQZYFFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Karen","https://www.amazon.com/gp/customer-reviews/R1BB5H00VPVTLX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","My dog loves it","Reviewed in the United States on January 3, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog absolute loves these. Keeps her entertained for a long time","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDqXD1%252FOZ4AR0qzhasZ%252BvWd3%252FeUnJDtYwGY%252FEXgWRH4iAAAAAGXT8X0AAAAB%26reviewId%3DR1BB5H00VPVTLX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDqXD1%2FOZ4AR0qzhasZ%2BvWd3%2FeUnJDtYwGY%2FEXgWRH4iAAAAAGXT8X0AAAAB&reviewId=R1BB5H00VPVTLX","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AENEFZQWTVQE4MM4IW6TVJ6RAC6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lourdes Valdes","https://www.amazon.com/gp/customer-reviews/RCFCICF4YTENW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","Great snack for bulldogs","Reviewed in the United States on October 6, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Size is perfect for adult bulldogs, great texture and smells good, quality ingredients","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBYyLdhc7IzpVmafeABh0SwfiQAN2GHlzTG8WS43j81TAAAAAGXT8X0AAAAB%26reviewId%3DRCFCICF4YTENW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBYyLdhc7IzpVmafeABh0SwfiQAN2GHlzTG8WS43j81TAAAAAGXT8X0AAAAB&reviewId=RCFCICF4YTENW","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AGOX4Y3BWT4FKDZ43KOR5S2PGVPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sue A. Johnson","https://www.amazon.com/gp/customer-reviews/R1FOQZRA8DMQA9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","Loves this!","Reviewed in the United States on July 29, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Corgie loves these! They keep her occupied for hours!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBaJUub%252BMGjCscWwVMFMmyBSe60og88kMtOPey0QHqamAAAAAGXT8X0AAAAB%26reviewId%3DR1FOQZRA8DMQA9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBaJUub%2BMGjCscWwVMFMmyBSe60og88kMtOPey0QHqamAAAAAGXT8X0AAAAB&reviewId=R1FOQZRA8DMQA9","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFCX37DL4LIKS3VFBLFKRU6EXC2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","p dean addison","https://www.amazon.com/gp/customer-reviews/R2UH0UGERFCIZ5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","4.0 out of 5 stars","Dog loves them!!!","Reviewed in the United States on October 23, 2017","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Scarfs them right up... slightly expensive though","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhACVl7Ii5bhLEsLQybOdPRdEv4DH0cIOCmUTlX%252FlW6qcAAAAAGXT8X0AAAAB%26reviewId%3DR2UH0UGERFCIZ5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hACVl7Ii5bhLEsLQybOdPRdEv4DH0cIOCmUTlX%2FlW6qcAAAAAGXT8X0AAAAB&reviewId=R2UH0UGERFCIZ5","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH4STIHJ3AXE7GD4RTUIZPIE6CGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/22a3d2db-10ad-407e-84af-9488ead77ebc._CR0,0,320,320_SX48_.jpg""/>","McCarth","https://www.amazon.com/gp/customer-reviews/R2LGN3MO5OGN7J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","His favorite","Reviewed in the United States on September 10, 2020","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","This is my dogs favorite bone. I first saw them at TJ Maxx and the Home Store and would buy them there, but they are really hard to find most of the time when I go there. They aren't always in stock, especially the medium or larger size bones. I was very pleased to find out I can just order them on Amazon. I love to see how happy my big boy gets when he sees me open the package, he can hardly contain himself, it's really cute.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhD%252FTnZBaBF%252BdQvDj5VBXQE3fnkgHJCx3cMF%252Bq4ypuG6mAAAAAGXT8X0AAAAB%26reviewId%3DR2LGN3MO5OGN7J&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hD%2FTnZBaBF%2BdQvDj5VBXQE3fnkgHJCx3cMF%2Bq4ypuG6mAAAAAGXT8X0AAAAB&reviewId=R2LGN3MO5OGN7J","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG6QLROD6EBUM4EE755KPJE2ASOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Susan D VanBuren","https://www.amazon.com/gp/customer-reviews/R1K45XSQBWMDY7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","Excellent for Teething Puppies","Reviewed in the United States on March 27, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","These bones are the best! A bit. Pricey... But pups love them. First found some at Ross and TJ Maxx... Should have bought more when I was there!!!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCv%252BmmCzXv7X5Wr4neCBiyqbc3uyQ6MnzD%252B5Qb2%252BEakuAAAAAGXT8X0AAAAB%26reviewId%3DR1K45XSQBWMDY7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCv%2BmmCzXv7X5Wr4neCBiyqbc3uyQ6MnzD%2B5Qb2%2BEakuAAAAAGXT8X0AAAAB&reviewId=R1K45XSQBWMDY7","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGBICSREQCM5G2MP6QPYAYSSFPHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Nicolette Duchene","https://www.amazon.com/gp/customer-reviews/R29LZQ7B084NLL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","My furbaby loves these broken down into smaller pieces. She's a small chihuahua. :)","Reviewed in the United States on April 30, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","would really like it if they had an extra small size for smaller dogs but otherwise they love them. Especially the BBQ flavored.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBqH%252BQ2MzgT0hXo7Jt225w8W%252BTjYO6JTvLJEkNLINYIWAAAAAGXT8X0AAAAB%26reviewId%3DR29LZQ7B084NLL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBqH%2BQ2MzgT0hXo7Jt225w8W%2BTjYO6JTvLJEkNLINYIWAAAAAGXT8X0AAAAB&reviewId=R29LZQ7B084NLL","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHLNDXFCN5GMMAIRDDAGSLX7AYBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Cary V. Hancock","https://www.amazon.com/gp/customer-reviews/R3PUUEU4MYW775/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","Wisdom bone","Reviewed in the United States on February 18, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our dog LOVES these bones","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJyxxkyqQESp84HlvbRc9QkuAiYuMTHif1eSoVcJso7PAAAAAGXT8X0AAAAB%26reviewId%3DR3PUUEU4MYW775&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJyxxkyqQESp84HlvbRc9QkuAiYuMTHif1eSoVcJso7PAAAAAGXT8X0AAAAB&reviewId=R3PUUEU4MYW775","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGR46VAZ7MPXV6NMA5RE2U7K2GYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/f88f74f2-55e8-4c5c-a9d4-00708a860e0f._CR4,0,492,492_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/f88f74f2-55e8-4c5c-a9d4-00708a860e0f._CR4,0,492,492_SX48_.jpg""/>","sara","https://www.amazon.com/gp/customer-reviews/ROS71K5VW91EZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","3.0 out of 5 stars","Prongs can easily snap off causing choking hazard","Reviewed in the United States on January 25, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Ours fell apart and my dog started to choke on it-it’s like a giant jacks and it can easily be taken apart. I have a Lhasa and a Shih Tzu who are 20lbs/11lbs and not big chewers. My Lhasa barely touched his and one of the prongs came off and we couldn’t get it out of his mouth when he started to choke on the knub he had reduced the broken prong to. Thankfully my teen son was home and between the two of us we got it out of his throat. Really scary stuff. They’re not hard like a yak stick-more of a softer medium and the prongs can easily be snapped. Something to think about if you plan to leave your dog unsupervised or they’re hard to get a treat back from.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN3%252FNMF5eMSJ15eXFGwYTffiTu4iqXh2rni1%252FaKg3qDTAAAAAGXT8X0AAAAB%26reviewId%3DROS71K5VW91EZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Prongs can easily snap off causing choking hazard","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN3%2FNMF5eMSJ15eXFGwYTffiTu4iqXh2rni1%2FaKg3qDTAAAAAGXT8X0AAAAB&reviewId=ROS71K5VW91EZ","Ours fell apart and my dog started to choke on it-it’s like a giant jacks and it can easily be taken apart. I have a Lhasa and a Shih Tzu who are 20lbs/11lbs and not big chewers. My Lhasa barely touched his and one of the prongs came off and we couldn’t get it out of his mouth when he started to choke on the knub he had reduced the broken prong to. Thankfully my teen son was home and between the two of us we got it out of his throat. Really scary stuff. They’re not hard like a yak stick-more of a softer medium and the prongs can easily be snapped. Something to think about if you plan to leave your dog unsupervised or they’re hard to get a treat back from.","0","There was a problem loading comments right now. Please try again later.","7 people found this helpful","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFHVVFWFFFYNY2MZTMMQFMGHRTUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e07d6b4d-3ca0-4367-859f-c66c585971c9._CR20,0,2448,2448_SX48_.jpg""/>","Firstsnow","https://www.amazon.com/gp/customer-reviews/R29KBDL36YF2EM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","2.0 out of 5 stars","Ridiculous - $11???","Reviewed in the United States on August 3, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I bought the ginourmous size for years of these bones and mistakenly thought this was the same size. The medium is tiny - for a petite breed only. Never again! Definitely not worth the cost this seller is charging.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFNRq95RZTget837nF3CYADdTKfqfs7W5qbeLaDfA9nPAAAAAGXT8X0AAAAB%26reviewId%3DR29KBDL36YF2EM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFNRq95RZTget837nF3CYADdTKfqfs7W5qbeLaDfA9nPAAAAAGXT8X0AAAAB&reviewId=R29KBDL36YF2EM","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH25NOCUR25BBPEDUVG2A63XHTVQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Christopher Mark Wright","https://www.amazon.com/gp/customer-reviews/R1NX1K8YR78TD4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0175BN7B0","5.0 out of 5 stars","great  treat","Reviewed in the United States on May 10, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","my poodles  love these.we make it there special  treat.great for teething.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115011-Peanut-Mini-Medium%2Fproduct-reviews%2FB0175BN7B0%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhHMHSox9GAiAewMIlD4e6JGgZD2uFsTEAEEnGZqYlS9KAAAAAGXT8YYAAAAB%26reviewId%3DR1NX1K8YR78TD4&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hHMHSox9GAiAewMIlD4e6JGgZD2uFsTEAEEnGZqYlS9KAAAAAGXT8YYAAAAB&reviewId=R1NX1K8YR78TD4","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
