"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AGBIDUVCFI3FVQ4DWRS6QKMMHV6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","paula s. davis","https://www.amazon.com/gp/customer-reviews/R2KNNWAF2Z1GOX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","5.0 out of 5 stars","Good chew rings","Reviewed in the United States on January 26, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog really likes the flavor of these rings!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAJpLgEabFavC6UU9SNT3UR6zDmtJu1esROh2WR1%252B7gqAAAAAGXT4OUAAAAB%26reviewId%3DR2KNNWAF2Z1GOX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAJpLgEabFavC6UU9SNT3UR6zDmtJu1esROh2WR1%2B7gqAAAAAGXT4OUAAAAB&reviewId=R2KNNWAF2Z1GOX","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AEYIDOLBYB3XVQMZIDBLJSOKDGHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kathy C","https://www.amazon.com/gp/customer-reviews/R34XWT2K4CGNS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","5.0 out of 5 stars","Great for puppies.","Reviewed in the United States on May 16, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Both of my puppies love these. They also lasted a long time, but I have small breed dogs.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEdlzNUJqYD2rF3DqeRTYC5%252BDOoAJaTTdCITp7S1enqPAAAAAGXT4OUAAAAB%26reviewId%3DR34XWT2K4CGNS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEdlzNUJqYD2rF3DqeRTYC5%2BDOoAJaTTdCITp7S1enqPAAAAAGXT4OUAAAAB&reviewId=R34XWT2K4CGNS","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AH3KCMJUI75ITLXDZ2IF4GWXEZ4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","TonyandTricia","https://www.amazon.com/gp/customer-reviews/R2CWERD9XBGJDV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","5.0 out of 5 stars","Great for chewing","Reviewed in the United States on January 9, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I only went down a star because my shi-chi had chewed part of the circle but maybe that's because she likes it better or it's a bit softer than her others.  Either way, she hasn't had more than one since we got them.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIrXGFGdxfnUrW%252BEDVed12OwZzpcm1nYuFpAby8jVXkXAAAAAGXT4OUAAAAB%26reviewId%3DR2CWERD9XBGJDV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Great for chewing","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIrXGFGdxfnUrW%2BEDVed12OwZzpcm1nYuFpAby8jVXkXAAAAAGXT4OUAAAAB&reviewId=R2CWERD9XBGJDV","I only went down a star because my shi-chi had chewed part of the circle but maybe that's because she likes it better or it's a bit softer than her others.  Either way, she hasn't had more than one since we got them.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Report"
"https://www.amazon.com/gp/profile/amzn1.account.AHH65A2A5MDRALWB7V7OVESGQGDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Antonette","https://www.amazon.com/gp/customer-reviews/R2LGLH5SYBSC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","4.0 out of 5 stars","Good teething treats","Reviewed in the United States on July 1, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our dog loves these but they do not last as long as I expected them to.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLdKwf7%252F4G6iT%252BwR6HyK%252FliXB1Zbdb2ihnVvzNkvojX7AAAAAGXT4OUAAAAB%26reviewId%3DR2LGLH5SYBSC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLdKwf7%2F4G6iT%2BwR6HyK%2FliXB1Zbdb2ihnVvzNkvojX7AAAAAGXT4OUAAAAB&reviewId=R2LGLH5SYBSC","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AERSGIND4I6CULFZ5K7CAWRYSEMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","alietha","https://www.amazon.com/gp/customer-reviews/REZQUMVLW57OM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","5.0 out of 5 stars","Dog loved these","Reviewed in the United States on June 24, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Have to my dog as he was teething bad and he devoured them. Due to his size he couldn’t eat a whole one due to the instructions on the bag so I had to take it away or he would have finished it. Great dog treat and teething option.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFE933rRbCPt%252FgxCx%252BUSF5dLXA632CTYTkakAWl8rLIWAAAAAGXT4OUAAAAB%26reviewId%3DREZQUMVLW57OM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFE933rRbCPt%2FgxCx%2BUSF5dLXA632CTYTkakAWl8rLIWAAAAAGXT4OUAAAAB&reviewId=REZQUMVLW57OM","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AGY2OEGQ6IJPVFOQEYFJYBS37MOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Michael Dalsass","https://www.amazon.com/gp/customer-reviews/R22Y5XSLT0U936/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","5.0 out of 5 stars","My pup enjoyed it!","Reviewed in the United States on June 29, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My pup has been loving these rings! I think she likes the taste of them a lot because she spent most of the time licking it. She is quite a chewer, so once she started chewing it only lasted about 10 minutes (She is a husky).","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhB3i3tNixZi1EYOxZC5LGM9b2OIchKw5Ji2FJM64dlZmAAAAAGXT4OUAAAAB%26reviewId%3DR22Y5XSLT0U936&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB3i3tNixZi1EYOxZC5LGM9b2OIchKw5Ji2FJM64dlZmAAAAAGXT4OUAAAAB&reviewId=R22Y5XSLT0U936","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHQONQEI7UQJ4O6Z2LAB4FQBWWCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/3a514f37-3014-44bc-a8e8-6f71fdd91601._CR69,0,361,361_SX48_.jpg""/>","Carol Worthington-Levy","https://www.amazon.com/gp/customer-reviews/R20KTLVZS7PBF5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","3.0 out of 5 stars","Not the freshest","Reviewed in the United States on August 13, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My pup loves this treat but I can’t get her interested in the ones I bought here. They look dry and they have no smell. Not appetizing enough even for my pup.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIJ9ys0H2gd1zFLvKQgGwq7jmHIvhxKKXrXyhd2TZnm0AAAAAGXT4OUAAAAB%26reviewId%3DR20KTLVZS7PBF5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIJ9ys0H2gd1zFLvKQgGwq7jmHIvhxKKXrXyhd2TZnm0AAAAAGXT4OUAAAAB&reviewId=R20KTLVZS7PBF5","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFMRCRVFU3MGNPX3A4CFJOPFVBJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","TMac","https://www.amazon.com/gp/customer-reviews/R1PHONZ6A8XATU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","5.0 out of 5 stars","My puppy loves the teething rings!!!","Reviewed in the United States on November 29, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I love these rings for my puppy, he seems to enjoy the flavors, I have tried several!!!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMgEZNjKiZwk6KxsYcdyg%252FifrkJaqoKXrfpfc5OkfGA4AAAAAGXT4OUAAAAB%26reviewId%3DR1PHONZ6A8XATU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMgEZNjKiZwk6KxsYcdyg%2FifrkJaqoKXrfpfc5OkfGA4AAAAAGXT4OUAAAAB&reviewId=R1PHONZ6A8XATU","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHS4MUIAE76CSOIABGDETQRJ6DHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Frank Marx","https://www.amazon.com/gp/customer-reviews/R3M7DSPJ1IJNA2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","4.0 out of 5 stars","Pup didn’t like","Reviewed in the United States on March 19, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","It may have just been my dog bit. My puppy did not like this at all!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMpA%252Bsh2Yfo8yrwz%252BJlfbgrSEF8kssFO5t1w7AFjcB98AAAAAGXT4OUAAAAB%26reviewId%3DR3M7DSPJ1IJNA2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMpA%2Bsh2Yfo8yrwz%2BJlfbgrSEF8kssFO5t1w7AFjcB98AAAAAGXT4OUAAAAB&reviewId=R3M7DSPJ1IJNA2","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGSQHE3EUYVEE5WYDWM4PJPB3DMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/1328dd06-03da-4e5c-9161-cb11a9b6f065._CR0,0,500,500_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/1328dd06-03da-4e5c-9161-cb11a9b6f065._CR0,0,500,500_SX48_.jpg""/>","alex maynard","https://www.amazon.com/gp/customer-reviews/R21UE6WXUIC35J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093RQ7S3T","4.0 out of 5 stars","Kept Her Busy, Some Residue, Still LOVE IT","Reviewed in the United States on July 13, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","As an owner of multiple dogs and sometimes limited time of running out for treats at my local pet store (when they actually have things), these were a really nice find!  Hopefully these will be carried in store soon or I will continue to order online.My new Merle Frenchie, Piper, is OBSESSED with these teething rings ... and so proud as you can tell in the photo LOL -- thank you for giving me some time back in my day by keeping her busy.  :)  There was some cleanup needed from residue, but overall great product.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Peanut-Natural-912573%2Fproduct-reviews%2FB093RQ7S3T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLIznntBPpEg5vMXbVTFQtvJkFuUjZ%252Bw8FR6VT%252BFc1nxAAAAAGXT4OUAAAAB%26reviewId%3DR21UE6WXUIC35J&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Kept Her Busy, Some Residue, Still LOVE IT","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLIznntBPpEg5vMXbVTFQtvJkFuUjZ%2Bw8FR6VT%2BFc1nxAAAAAGXT4OUAAAAB&reviewId=R21UE6WXUIC35J","As an owner of multiple dogs and sometimes limited time of running out for treats at my local pet store (when they actually have things), these were a really nice find!  Hopefully these will be carried in store soon or I will continue to order online.My new Merle Frenchie, Piper, is OBSESSED with these teething rings ... and so proud as you can tell in the photo LOL -- thank you for giving me some time back in my day by keeping her busy.  :)  There was some cleanup needed from residue, but overall great product.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","One person found this helpful"
